ID,Company name,City,ZIP,County,Est. Impact,LWDA,Date
GA201900649,Bloomin Brands (Bonefish 1712),Atlanta,30339,Fulton,62,3,03/15/2020
GA201900650,Interfor US Inc,Bloomingdale,31302,Effingham,137,20,04/27/2020
GA201900651,Bloomin Brands (Carrabbas 1101),Macon,31210,Bibb,97,10,03/15/2020
GA201900652,Interfor US INC,Baxley,31513,Appling,162,16,04/27/2020
GA201900653,Bloomin Brands (Carrabbas 1102),Kennesaw,30144,Cobb,67,4,03/15/2020
GA201900654,Bloomin Brands (Carrabbas 1105),Atlanta,30339,Fulton,51,3,03/15/2020
GA201900655,Bloomin Brands (Carrabbas 1108),Morrow,30260,Clayton,86,7,03/15/2020
GA201900656,Bloomin' Brands (Outback 1114),Snellville,30078,Gwinnett,88,7,03/15/2020
GA201900657,Bloomin Brands (Carrabbas 1109),Augusta,30909,Richmond,71,12,03/15/2020
GA201900658,Bloomin Brands (Carrabbas 6110),Savannah,31419,Chatham,73,20,03/15/2020
GA201900660,Bloomin' Brands (Outback 1116),Athens,30606,Clarke,71,9,03/15/2020
GA201900661,Bloomin Brands (Carrabbas 6111),Columbus,31909,Muscogee,59,14,03/15/2020
GA201900662,Bloomin Brands (Carrabbas 6112),Duluth,30097,Gwinnett,73,7,03/15/2020
GA201900663,Bloomin Brands (Outback 1119),Kennesaw,30144,Cobb,82,4,03/15/2020
GA201900664,Bloomin Brands (Outback 1120),Douglasville,30135,Douglas,98,7,03/15/2020
GA201900665,Bloomin Brands (Outback 1121),Conyers,30012,Rockdale,85,7,03/15/2020
GA201900666,Bloomin Brands (Carrabbas 6113),Peachtree City,30269,Fayette,83,7,03/15/2020
GA201900667,Bloomin Brands (Carrabbas 6114),Athens,30306,Clarke,59,9,03/15/2020
GA201900668,Bloomin Brands (Carrabbas 6115),Atlanta,30346,Fulton,43,3,03/15/2020
GA201900669,Bloomin Brands (Carrabbas 6116),Douglasville,30135,Douglas,51,7,03/15/2020
GA201900670,Bloomin Brands (Carrabbas 6117),Cumming,30041,Forsyth,60,2,03/15/2020
GA201900671,Bloomin Brands (Flemings 2101),Atlanta,30346,Fulton,50,3,03/15/2020
GA201900672,Bloomin Brands (Outback 1113),Atlanta,30329,Fulton,73,3,03/15/2020
GA201900673,Bloomin Brands (Outback 1122),Suwanee,30024,Gwinnett,65,7,03/15/2020
GA201900674,Bloomin Brands (Outback 1123),Gainesville,30501,Hall,64,2,03/15/2020
GA201900675,Bloomin Brands (Outback 1124),Peachtree City,30269,Fayette,80,7,03/15/2020
